block,start_date,end_date,market_ret,market_vol,market_drawdown,market_abs,market_sq,dispersion,tail_count_8pct,downside_market,BTC_ret,BTC_vol,BTC_downside,ETH_ret,ETH_vol,ETH_downside,SOL_ret,SOL_vol,SOL_downside,BNB_ret,BNB_vol,BNB_downside,AVAX_ret,AVAX_vol,AVAX_downside,next_market_ret,next_block_end_date,next_stress
0,2020-09-23 00:00:00+00:00,2020-10-02 00:00:00+00:00,-0.06767541205903427,0.1726636079834424,-0.11547644482526964,0.04244629022888263,0.006456490678043124,0.04278362862101791,6.0,0.023967427208835636,0.002116190013503605,0.059627373296998354,0.006488991893674445,-0.0026590677535157647,0.11620953611700534,0.012095660597911806,-0.10833796513716809,0.14780297139627946,0.022457571749671133,0.12498209322388654,0.14006725819018945,0.011996602094750397,-0.37266265712941893,0.5021332672979929,0.0667983097081704,0.07974809619331436,2020-10-12 00:00:00+00:00,0.0
1,2020-10-03 00:00:00+00:00,2020-10-12 00:00:00+00:00,0.07974809619331436,0.1130096868146913,-0.05890691673146675,0.03270923530483173,0.0024477738556247216,0.028823782144335112,4.0,0.012176955602664088,0.08950206273278005,0.036178740623334565,0.0020687324624070413,0.11539356760914399,0.06427856945158579,0.0037073819673301145,-0.0463866355351783,0.2425706691464443,0.029222281821424702,0.11649899815840459,0.08575511565034315,0.004539686417365951,0.10136823000112138,0.2144263466739371,0.02134669534479263,-0.025168706863316292,2020-10-22 00:00:00+00:00,0.0
2,2020-10-13 00:00:00+00:00,2020-10-22 00:00:00+00:00,-0.025168706863316292,0.08926922844660755,-0.10425691071197618,0.028416752834318708,0.0014020301855727222,0.023142457037112537,2.0,0.015283066563586906,0.12146383251847892,0.07087970139849376,0.002590027458803057,0.06602301749309869,0.09591594604194373,0.008472392617827484,-0.2522178469341897,0.13464567312554357,0.03497959910509363,-0.0034048619168518535,0.07791226518874741,0.010329252148148171,-0.027003933684604853,0.1487017736632241,0.020044061488062193,-0.08203469062892321,2020-11-01 00:00:00+00:00,1.0
3,2020-10-23 00:00:00+00:00,2020-11-01 00:00:00+00:00,-0.08203469062892321,0.0636197951392126,-0.10952210030235943,0.022731364225301233,0.0010899656531628483,0.022931043467157023,1.0,0.01552475318178379,0.05932271710648962,0.05599372384637246,0.003948611677236968,-0.044093073579362096,0.06736391504692449,0.011395925621787395,-0.1932920182389687,0.17362694519198069,0.033121709012123926,-0.0712848668216769,0.06895945518461738,0.011754338239937523,-0.15454332111192326,0.06558272719673815,0.017403181357833142,0.08014701344205477,2020-11-11 00:00:00+00:00,0.0
4,2020-11-02 00:00:00+00:00,2020-11-11 00:00:00+00:00,0.08014701344205477,0.1340646680523685,-0.060724114246412775,0.04373376861730802,0.004135793951550418,0.04081623012871188,7.0,0.017562322850073444,0.13091300670353623,0.11989486822654566,0.007786467067411884,0.1575480814632224,0.1229032141346759,0.010369699122666099,0.16694356859699955,0.37042949326689645,0.0329912952006441,-0.021811483691183353,0.08702135711697087,0.012365224189417212,-0.06477672923025024,0.15269643303318614,0.024298928670227916,0.1571655930813427,2020-11-21 00:00:00+00:00,0.0
5,2020-11-12 00:00:00+00:00,2020-11-21 00:00:00+00:00,0.1571655930813427,0.09570813407474253,-0.007852654050768848,0.03329373082719591,0.001848193957994223,0.025206394289464418,3.0,0.009069435067519727,0.18723606365098933,0.0778110025107592,0.0022536636344691273,0.18214429455524428,0.12423522860982979,0.00857282789017919,0.16860462562902545,0.19229049898309858,0.01771509590796757,0.08656837108817172,0.06549749028153078,0.004668362469316278,0.1450936976107644,0.13249658730723424,0.012137225435666466,-0.06322050474945984,2020-12-01 00:00:00+00:00,0.0
6,2020-11-22 00:00:00+00:00,2020-12-01 00:00:00+00:00,-0.06322050474945984,0.1556547079859416,-0.11891473539159947,0.04267300655806475,0.003158057916140731,0.025180846287110613,9.0,0.023961376574027592,-0.007161381066284389,0.14400410840059003,0.01779727461273648,0.04247423431724884,0.17951420171241877,0.021210287753016567,-0.1915006313094476,0.20263382997071602,0.030597536621647624,-0.026465252615310297,0.17927288175074788,0.024228776898675218,-0.1305899018248743,0.16214663710917723,0.025973006984062064,-0.1239069382530289,2020-12-11 00:00:00+00:00,1.0
7,2020-12-02 00:00:00+00:00,2020-12-11 00:00:00+00:00,-0.1239069382530289,0.11925641497245609,-0.1239069382530289,0.036149568993006385,0.0021018403914205316,0.021826943728183907,5.0,0.024282341741255115,-0.04162868456380853,0.0748927427852021,0.012308813005805597,-0.0780567519843628,0.13006780692831163,0.021415736326478994,-0.2894730171361187,0.19744804457980275,0.045373013806732705,-0.0984942664937628,0.08549638774154579,0.015706129364128695,-0.10060333703433222,0.1540774502249815,0.02660801620312958,0.1036383461797099,2020-12-21 00:00:00+00:00,0.0
8,2020-12-12 00:00:00+00:00,2020-12-21 00:00:00+00:00,0.1036383461797099,0.0903384918342458,0.03573975668754881,0.03477925144327721,0.0017893224186543515,0.027203076214520016,2.0,0.01222983923813028,0.24897886449064743,0.11150103170752684,0.004736032221633835,0.1086830673274557,0.11064402872805798,0.00872603958067648,0.053595758486286726,0.14950381672348714,0.01636070708687956,0.16291383979376972,0.11618958523129191,0.009696383123731245,-0.05517598857555761,0.13878457870842173,0.021630034177730285,0.11768313591663837,2020-12-31 00:00:00+00:00,0.0
9,2020-12-22 00:00:00+00:00,2020-12-31 00:00:00+00:00,0.11768313591663837,0.1274333990222106,-0.06903740539317138,0.04539921366860646,0.0037821443293815445,0.04369252575636636,9.0,0.016690957336494908,0.26468545045440006,0.08837167094325084,0.0032599398067755915,0.19862371142029733,0.13682003309728288,0.010449896010152847,-0.07461331979597308,0.3405181184242314,0.04532528124820287,0.15327217483104172,0.13912692987592615,0.01167832692933719,0.023606393419674188,0.12356700674585702,0.01274134268800604,0.6116188200128592,2021-01-10 00:00:00+00:00,0.0
