method,log_loss,brier,auc,stress_rate_top_risk_quartile,risk_off_rate,strategy_total_return,strategy_max_drawdown,buy_hold_total_return,buy_hold_max_drawdown
online,0.5242359873445599,0.17210024768903018,0.6246200607902735,0.375,0.2786885245901639,-0.33324773889904136,-0.49521460646425874,-0.49710671311871313,-0.6505735426510749
static_tass,0.5310991260916876,0.17507413634022875,0.6231003039513677,0.25,0.2459016393442623,-0.25005462137445833,-0.48273823573885666,-0.49710671311871313,-0.6505735426510749
uniform,0.5333567364331233,0.17565956250729176,0.6200607902735562,0.25,0.21311475409836064,-0.41537917207846853,-0.5506976535342041,-0.49710671311871313,-0.6505735426510749
