avg_state_0_prob,avg_state_1_prob,avg_state_2_prob,experiment,method,ml_state_0_share,ml_state_1_share
0.9953368306159973,0.0043829274363815784,0.0002958922123070806,crypto_student_t_k3_raw,uniform,,
0.9981502890586853,0.0002089973131660372,0.0016572276363149285,crypto_student_t_k3_raw,young_static,,
0.9925676584243774,0.005542590282857418,0.001923858537338674,crypto_student_t_k3_raw,online_feature,,
0.610503077507019,0.3895084857940674,,crypto_gaussian_k2_rollstd,uniform,0.6253761283851554,0.37462387161484456
0.605995774269104,0.3940141201019287,,crypto_gaussian_k2_rollstd,young_static,0.6253761283851554,0.37462387161484456
0.6021743416786194,0.3978264629840851,,crypto_gaussian_k2_rollstd,online_feature,0.6218655967903711,0.3781344032096289
0.48466363549232483,0.5153405666351318,,crypto_btc_eth_gaussian_k2_fullcov,uniform,0.5255767301905717,0.4744232698094283
0.4776676893234253,0.5223352909088135,,crypto_btc_eth_gaussian_k2_fullcov,young_static,0.5180541624874624,0.4819458375125376
0.4826876223087311,0.5173115134239197,,crypto_btc_eth_gaussian_k2_fullcov,online_feature,0.522567703109328,0.477432296890672
0.7757833003997803,0.2242165058851242,,simulated_gaussian_k2_fullcov,uniform,0.8066666666666666,0.19333333333333333
0.782062292098999,0.21793776750564575,,simulated_gaussian_k2_fullcov,young_static,0.8333333333333334,0.16666666666666666
0.7673884034156799,0.23261184990406036,,simulated_gaussian_k2_fullcov,online_feature,0.805,0.195
0.6671490669250488,0.3328515589237213,,simulated_gaussian_k2_univariate,uniform,0.66875,0.33125
0.6686887145042419,0.33131149411201477,,simulated_gaussian_k2_univariate,young_static,0.6725,0.3275
0.6623952388763428,0.33760443329811096,,simulated_gaussian_k2_univariate,online_feature,0.6625,0.3375
